location,date,lockdown_in_effect
Australia,1/26/2020,FALSE
Australia,1/27/2020,FALSE
Australia,1/28/2020,FALSE
Australia,1/29/2020,FALSE
Australia,1/30/2020,FALSE
Australia,1/31/2020,FALSE
Australia,2/1/2020,FALSE
Australia,2/2/2020,FALSE
Australia,2/3/2020,FALSE
Australia,2/4/2020,FALSE
Australia,2/5/2020,FALSE
Australia,2/6/2020,FALSE
Australia,2/7/2020,FALSE
Australia,2/8/2020,FALSE
Australia,2/9/2020,FALSE
Australia,2/10/2020,FALSE
Australia,2/11/2020,FALSE
Australia,2/12/2020,FALSE
Australia,2/13/2020,FALSE
Australia,2/14/2020,FALSE
Australia,2/15/2020,FALSE
Australia,2/16/2020,FALSE
Australia,2/17/2020,FALSE
Australia,2/18/2020,FALSE
Australia,2/19/2020,FALSE
Australia,2/20/2020,FALSE
Australia,2/21/2020,FALSE
Australia,2/22/2020,FALSE
Australia,2/23/2020,FALSE
Australia,2/24/2020,FALSE
Australia,2/25/2020,FALSE
Australia,2/26/2020,FALSE
Australia,2/27/2020,FALSE
Australia,2/28/2020,FALSE
Australia,2/29/2020,FALSE
Australia,3/1/2020,FALSE
Australia,3/2/2020,FALSE
Australia,3/3/2020,FALSE
Australia,3/4/2020,FALSE
Australia,3/5/2020,FALSE
Australia,3/6/2020,FALSE
Australia,3/7/2020,FALSE
Australia,3/8/2020,FALSE
Australia,3/9/2020,FALSE
Australia,3/10/2020,FALSE
Australia,3/11/2020,FALSE
Australia,3/12/2020,FALSE
Australia,3/13/2020,TRUE
Australia,3/14/2020,TRUE
Australia,3/15/2020,TRUE
Australia,3/16/2020,TRUE
Australia,3/17/2020,TRUE
Australia,3/18/2020,TRUE
Australia,3/19/2020,TRUE
Australia,3/20/2020,TRUE
Australia,3/21/2020,TRUE
Australia,3/22/2020,TRUE
Australia,3/23/2020,TRUE
Australia,3/24/2020,TRUE
Australia,3/25/2020,TRUE
Australia,3/26/2020,TRUE
Australia,3/27/2020,TRUE
Australia,3/28/2020,TRUE
Australia,3/29/2020,TRUE
Australia,3/30/2020,TRUE
Australia,3/31/2020,TRUE
Australia,4/1/2020,TRUE
Australia,4/2/2020,TRUE
Australia,4/3/2020,TRUE
Australia,4/4/2020,TRUE
Australia,4/5/2020,TRUE
Australia,4/6/2020,TRUE
Australia,4/7/2020,TRUE
Australia,4/8/2020,TRUE
Australia,4/9/2020,TRUE
Australia,4/10/2020,TRUE
Australia,4/11/2020,TRUE
Australia,4/12/2020,TRUE
Australia,4/13/2020,TRUE
Australia,4/14/2020,TRUE
Australia,4/15/2020,TRUE
Australia,4/16/2020,TRUE
Australia,4/17/2020,TRUE
Australia,4/18/2020,TRUE
Australia,4/19/2020,TRUE
Australia,4/20/2020,TRUE
Australia,4/21/2020,TRUE
Australia,4/22/2020,TRUE
Australia,4/23/2020,TRUE
Australia,4/24/2020,TRUE
Australia,4/25/2020,TRUE
Australia,4/26/2020,TRUE
Australia,4/27/2020,TRUE
Australia,4/28/2020,TRUE
Australia,4/29/2020,TRUE
Australia,4/30/2020,TRUE
Australia,5/1/2020,TRUE
Australia,5/2/2020,TRUE
Australia,5/3/2020,TRUE
Australia,5/4/2020,TRUE
Australia,5/5/2020,TRUE
Australia,5/6/2020,TRUE
Australia,5/7/2020,TRUE
Australia,5/8/2020,TRUE
Australia,5/9/2020,TRUE
Australia,5/10/2020,TRUE
Australia,5/11/2020,TRUE
Australia,5/12/2020,TRUE
Australia,5/13/2020,TRUE
Australia,5/14/2020,TRUE
Australia,5/15/2020,TRUE
Australia,5/16/2020,TRUE
Australia,5/17/2020,TRUE
Australia,5/18/2020,TRUE
Australia,5/19/2020,TRUE
Australia,5/20/2020,TRUE
Australia,5/21/2020,TRUE
Australia,5/22/2020,TRUE
Australia,5/23/2020,TRUE
Australia,5/24/2020,TRUE
